Countries,Happiness,GDP_Per_Capita
Italy,6.05708646774292,42074.921875
Italy,5.83931398391724,42664.35546875
Italy,6.00937366485596,42892.3046875
Italy,6.0265851020813,41501.7109375
Italy,5.84768390655518,40268.11328125
Italy,5.95452404022217,39898.52734375
Italy,6.19887018203735,40247.828125
Italy,6.51652669906616,40837.73828125
Italy,6.44541692733765,41581.12109375
Italy,6.48835611343384,42045.921875
Italy,6.48309993743896,42708.03515625
Italy,6.46670007705688,39073.4140625
Japan,6.51581716537476,36784.8828125
Japan,6.23819780349731,38250.63671875
Japan,5.91067934036255,38751.00390625
Japan,5.84499931335449,39280.89453125
Japan,6.05675268173218,38781.19921875
Japan,6.26279354095459,36577.86328125
Japan,5.96821641921997,38069.95703125
Japan,5.95936155319214,38149.6171875
Japan,5.92262077331543,38735.89453125
Japan,5.87968444824219,39569.63671875
Japan,5.95465087890625,39739.54296875
Japan,5.9106764793396,40402.58203125
Japan,5.79357528686523,40754.1015625
Japan,5.90803909301758,41505.08203125
Japan,6.1179633140564,41821.70703125
Japan,5.94049978256226,42022.48828125
Japan,6.03889989852905,40232.2109375
Latvia,4.70950222015381,18169.18359375
Latvia,4.6669716835022,20334.599609375
Latvia,5.14537525177002,22977.478515625
Latvia,4.66891050338745,25469.15625
Latvia,4.9668116569519,21710.767578125
Latvia,5.12502527236938,21176.279296875
Latvia,5.06977033615112,22118.41015625
Latvia,5.72911548614502,23970.435546875
Latvia,5.88059759140015,24715.720703125
Latvia,5.94044637680054,25423.64453125
Latvia,5.97781753540039,26628.458984375
Latvia,5.90115404129028,27509.173828125
Latvia,5.96975374221802,28673.5625
Latvia,6.22900867462158,30050.716796875
Latvia,6.03200006484985,31012.134765625
Latvia,6.18039989471436,30100.26953125
Lithuania,5.95444297790527,19226.46875
Lithuania,5.80828475952148,21053.185546875
Lithuania,5.55392599105835,22977.99609375
Lithuania,5.46692085266113,25835.3671875
Lithuania,5.06582498550415,26784.880859375
Lithuania,5.43243741989136,23065.0625
Lithuania,5.77103710174561,23942.759765625
Lithuania,5.59568929672241,25968.583984375
Lithuania,6.12572383880615,27330.896484375
Lithuania,5.71137809753418,28589.02734375
Lithuania,5.86555242538452,29855.83203125
Lithuania,6.27294063568115,30748.197265625
Lithuania,6.30887889862061,31925.802734375
Lithuania,6.06409788131714,33761.87109375
Lithuania,6.39137887954712,35446.70703125
Lithuania,6.25540018081665,37166.2109375
Lithuania,6.4456000328064,37107.05859375
Luxembourg,6.95792007446289,120647.8203125
Luxembourg,7.09725189208984,118154.6640625
Luxembourg,7.10140037536621,112230.078125
Luxembourg,6.96409702301025,114343.984375
Luxembourg,7.13080930709839,112998.390625
Luxembourg,6.89112710952759,112137.1328125
Luxembourg,6.70157146453857,113050.6640625
Luxembourg,6.96734094619751,113313.578125
Luxembourg,7.0613808631897,113182.7265625
Luxembourg,7.24263095855713,116283.703125
Luxembourg,7.40401554107666,114985.84375
Luxembourg,7.32439994812012,116518.2734375
Luxembourg,7.40399980545044,112557.3125
Mexico,6.58065795898438,17205.986328125
Mexico,6.52537822723389,17788.58984375
Mexico,6.82903623580933,18319.478515625
Mexico,6.96281909942627,18462.83984375
Mexico,6.8023886680603,18396.810546875
Mexico,6.90951538085938,17168.9765625
Mexico,7.32018518447876,17790.01171875
Mexico,7.44254636764526,18186.224609375
Mexico,6.67983102798462,18594.89453125
Mexico,6.23628711700439,18600.37109375
Mexico,6.82417297363281,18887.568359375
Mexico,6.41029930114746,19268.9140625
Mexico,6.54957866668701,19539.26171875
Mexico,6.43194532394409,19721.26171875
Mexico,5.96422100067139,19928.396484375
Mexico,6.31680011749268,19677.275390625
Mexico,6.12760019302368,17852.359375
Netherlands,7.46397924423218,47806.8828125
Netherlands,7.45187950134277,49467.43359375
Netherlands,7.63101196289062,51097.36328125
Netherlands,7.50187587738037,53848.25390625
Netherlands,7.56379795074463,51607.60546875
Netherlands,7.47071552276611,52032.98828125
Netherlands,7.40655040740967,52594.23046875
Netherlands,7.32118844985962,51860.0546875
Netherlands,7.32443714141846,51640.078125
Netherlands,7.54087734222412,52186.99609375
Netherlands,7.45896530151367,52974.1171875
Netherlands,7.4630970954895,53847.828125
Netherlands,7.42526865005493,55088.6328125
Netherlands,7.50444793701172,56060.9140625
Netherlands,7.46400022506714,56784.0390625
Netherlands,7.4148998260498,54324.3828125
New Zealand,7.30501413345337,36504.19921875
New Zealand,7.60417318344116,37293.21484375
New Zealand,7.38117074966431,37902.75
New Zealand,7.22375631332397,37933.15234375
New Zealand,7.19063806533813,37505.046875
New Zealand,7.24962997436523,37657.14453125
New Zealand,7.28015184402466,38214.47265625
New Zealand,7.30589246749878,38857.1171875
New Zealand,7.41812086105347,39599.1875
New Zealand,7.22568798065186,40432.2421875
New Zealand,7.32718276977539,41086.1171875
New Zealand,7.370285987854,41672.1015625
New Zealand,7.20517444610596,42285.3203125
New Zealand,7.25738191604614,42866.12890625
New Zealand,7.2765998840332,42877.94140625
New Zealand,7.19980001449585,42774.69140625
Norway,7.41568231582642,60699.56640625
Norway,7.63228750228882,62846.9375
Norway,7.67827701568604,61353.4765625
Norway,7.44447088241577,61990.69140625
Norway,7.60343360900879,61878.9765625
Norway,7.59633159637451,62390.12890625
Norway,7.57874488830566,62987.515625
Norway,7.44426202774048,63104.08203125
Norway,7.44213962554932,64050.7578125
Norway,7.29003238677979,64341.2578125
Norway,7.39249992370605,64385.0078125
Norway,7.36509990692139,63548.0
Poland,5.58720922470093,17409.638671875
Poland,5.88613748550415,18937.4765625
Poland,5.77202749252319,21543.1640625
Poland,5.88702964782715,22444.908203125
Poland,5.64620494842529,23064.953125
Poland,5.87593173980713,23996.140625
Poland,5.74613189697266,25124.275390625
Poland,5.75028228759766,25457.20703125
Poland,6.0070219039917,25759.33984375
Poland,6.16207647323608,26649.578125
Poland,6.20126819610596,27797.05859375
Poland,6.11148500442505,28682.693359375
Poland,6.24209403991699,30064.50390625
Poland,6.13945531845093,31674.130859375
Poland,6.166100025177,33185.15625
Poland,6.12279987335205,32398.705078125
Portugal,5.40524625778198,30892.8203125
Portugal,5.71696662902832,31524.75
Portugal,5.0945258140564,32307.912109375
Portugal,5.21999788284302,31269.41015625
Portugal,4.99396228790283,31798.154296875
Portugal,5.15768814086914,31304.81640625
Portugal,5.12691164016724,30156.701171875
Portugal,5.08086633682251,30042.890625
Portugal,5.44663715362549,30444.599609375
Portugal,5.71149921417236,31118.791015625
Portugal,5.91982269287109,31847.537109375
Portugal,6.09547328948975,33044.71484375
Portugal,5.76779222488403,34040.7265625
Portugal,5.92899990081787,34945.66015625
Portugal,6.01630020141602,31961.775390625
Slovenia,5.8112645149231,30041.814453125
Slovenia,5.83016061782837,34907.3671875
Slovenia,6.08255529403687,36075.46875
Slovenia,6.035964012146,33052.2265625
Slovenia,6.06289100646973,33350.61328125
Slovenia,5.97488880157471,33568.06640625
Slovenia,5.67839527130127,32613.490234375
Slovenia,5.74064207077026,32234.025390625
Slovenia,5.93682146072388,33093.75
Slovenia,6.16683769226074,33799.7265625
Slovenia,6.24941921234131,34853.04296875
Slovenia,6.66527366638184,36507.5546875
Slovenia,6.46207618713379,37984.1328125
Slovenia,6.46070003509521,38946.68359375
Slovenia,6.63009977340698,37050.546875
South Africa,5.08398675918579,12027.0810546875
South Africa,5.20445442199707,12506.001953125
South Africa,5.34630680084229,13040.9794921875
South Africa,5.21843099594116,13563.7265625
South Africa,4.65242862701416,13811.0615234375
South Africa,4.93051147460938,13410.71484375
South Africa,5.13388776779175,13618.7255859375
South Africa,3.66072726249695,13837.6689453125
South Africa,4.82845640182495,13946.9482421875
South Africa,4.88732576370239,14066.1025390625
South Africa,4.76973962783813,14040.826171875
South Africa,4.51365518569946,14010.1044921875
South Africa,4.88392210006714,13897.1396484375
South Africa,5.03486347198486,13860.2705078125
South Africa,4.94680070877075,13875.935546875
South Africa,4.95639991760254,13709.966796875
South Africa,5.1939001083374,12665.83203125
Spain,7.15278577804565,36750.44140625
Spain,6.99461460113525,37963.3671875
Spain,7.29447269439697,38858.47265625
Spain,6.19860124588013,39520.82421875
Spain,6.18826246261597,39240.39453125
Spain,6.51824903488159,37430.6796875
Spain,6.29069042205811,37319.4765625
Spain,6.15002727508545,36884.2578125
Spain,6.45647764205933,35769.4609375
Spain,6.38066339492798,35371.73828125
Spain,6.31861209869385,35968.62109375
Spain,6.23017311096191,37377.06640625
Spain,6.51337099075317,38477.578125
Spain,6.45744943618774,39528.92578125
Spain,6.50217533111572,40256.953125
Spain,6.49069976806641,40802.48828125
Spain,6.47629976272583,36210.875
Sweden,7.37631559371948,42678.28515625
Sweden,7.24136257171631,45440.296875
Sweden,7.51599740982056,47292.3125
Sweden,7.26597738265991,48557.3828125
Sweden,7.49601888656616,47963.4921875
Sweden,7.38223218917847,45492.76953125
Sweden,7.56014776229858,47791.37109375
Sweden,7.43401050567627,48947.4375
Sweden,7.23914766311646,48300.84375
Sweden,7.28892230987549,48462.16015625
Sweden,7.36874437332153,49258.99609375
Sweden,7.28680467605591,50928.96484375
Sweden,7.37479209899902,51334.43359375
Sweden,7.39809274673462,51947.953125
Sweden,7.31434106826782,52349.29296875
Sweden,7.36269998550415,52850.5703125
Sweden,7.38430023193359,50923.109375
Turkey,4.71873378753662,15670.41796875
Turkey,5.62347173690796,18251.669921875
Turkey,5.11823177337646,19277.53125
Turkey,5.21284151077271,20009.689453125
Turkey,5.49034738540649,19933.06640625
Turkey,5.27194404602051,18731.51953125
Turkey,5.3090763092041,20027.666015625
Turkey,4.88817739486694,21932.294921875
Turkey,5.57979440689087,22610.68359375
Turkey,5.51446533203125,24117.658203125
Turkey,5.32622194290161,24881.728515625
Turkey,5.607262134552,25958.640625
Turkey,5.1856894493103,26385.001953125
Turkey,4.87207365036011,27913.818359375
Turkey,4.86155414581299,28318.435546875
Turkey,4.9475998878479,28197.248046875
Turkey,4.74420022964478,28393.466796875
